2025-07-14T06:01:12.334Z | EVT-1001 | INFO | 10.10.1.45 | jsmith | WS-FINANCE-014 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: TOTP_VERIFIED. Session: S-4821A
2025-07-14T06:03:44.120Z | EVT-1001 | INFO | 10.10.2.88 | mwilliams | WS-HR-007 | LOGIN_SUCCESS | User authenticated via LDAP. MFA: TOTP_VERIFIED. Session: S-4822B
2025-07-14T06:05:09.882Z | EVT-1002 | LOW | 10.10.1.45 | jsmith | WS-FINANCE-014 | LOGOUT | Session terminated. Duration: 00:03:57. Session: S-4821A
2025-07-14T06:07:33.441Z | EVT-1003 | WARNING | 203.78.114.56 | admin | VPN-GW-01 | VPN_AUTH_FAIL | VPN login failed. Reason: INVALID_CREDENTIALS. Attempt: 1/5. GEO: CN-Shanghai
2025-07-14T06:07:41.002Z | EVT-1003 | WARNING | 203.78.114.56 | admin | VPN-GW-01 | VPN_AUTH_FAIL | VPN login failed. Reason: INVALID_CREDENTIALS. Attempt: 2/5. GEO: CN-Shanghai
2025-07-14T06:07:48.774Z | EVT-1003 | WARNING | 203.78.114.56 | admin | VPN-GW-01 | VPN_AUTH_FAIL | VPN login failed. Reason: INVALID_CREDENTIALS. Attempt: 3/5. GEO: CN-Shanghai
2025-07-14T06:07:55.119Z | EVT-1003 | HIGH | 203.78.114.56 | admin | VPN-GW-01 | VPN_AUTH_FAIL | VPN login failed. Reason: INVALID_CREDENTIALS. Attempt: 4/5. GEO: CN-Shanghai
2025-07-14T06:08:02.663Z | EVT-1003 | HIGH | 203.78.114.56 | admin | VPN-GW-01 | VPN_AUTH_FAIL | VPN login failed. Reason: INVALID_CREDENTIALS. Attempt: 5/5. GEO: CN-Shanghai
2025-07-14T06:08:03.901Z | EVT-1010 | CRITICAL | 203.78.114.56 | admin | VPN-GW-01 | ACCOUNT_LOCKED | Account 'admin' locked after 5 failed VPN attempts. Lock duration: 30min. GEO: CN-Shanghai
2025-07-14T06:09:15.220Z | EVT-1001 | INFO | 10.10.3.112 | ltorres | WS-IT-022 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: PUSH_VERIFIED. Session: S-4823C
2025-07-14T06:11:28.775Z | EVT-1005 | HIGH | 10.10.5.201 | svc_backup | SRV-BACKUP-01 | PRIV_ESCALATION_ATTEMPT | Account 'svc_backup' attempted to access Domain Admin group. Action: DENIED. Rule: PRIV-SEC-004
2025-07-14T06:12:00.118Z | EVT-1005 | HIGH | 10.10.5.201 | svc_backup | SRV-BACKUP-01 | PRIV_ESCALATION_ATTEMPT | Account 'svc_backup' attempted to access Domain Admin group. Action: DENIED. Rule: PRIV-SEC-004
2025-07-14T06:13:47.334Z | EVT-1004 | WARNING | 10.10.8.99 | dchen | WS-DEV-031 | MFA_FAIL | MFA challenge failed. Method: TOTP. Attempt: 1/3. Token expired or invalid.
2025-07-14T06:13:59.002Z | EVT-1004 | WARNING | 10.10.8.99 | dchen | WS-DEV-031 | MFA_FAIL | MFA challenge failed. Method: TOTP. Attempt: 2/3. Token expired or invalid.
2025-07-14T06:14:11.448Z | EVT-1004 | HIGH | 10.10.8.99 | dchen | WS-DEV-031 | MFA_FAIL | MFA challenge failed. Method: TOTP. Attempt: 3/3. Token expired or invalid. Account flagged.
2025-07-14T06:15:00.001Z | EVT-1001 | INFO | 10.10.4.77 | agarcia | WS-SALES-009 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: SMS_VERIFIED. Session: S-4824D
2025-07-14T06:18:32.779Z | EVT-1006 | CRITICAL | 45.152.66.201 | root | LINUX-SRV-PROD-04 | SSH_BRUTE_FORCE | SSH brute force detected. 87 failed attempts in 120 sec. Source blocked by IPS. GEO: RU-Moscow
2025-07-14T06:18:32.779Z | EVT-1006 | CRITICAL | 45.152.66.201 | root | LINUX-SRV-PROD-04 | SSH_BRUTE_FORCE | SSH brute force detected. 87 failed attempts in 120 sec. Source blocked by IPS. GEO: RU-Moscow
2025-07-14T06:19:05.334Z | EVT-1007 | WARNING | 10.10.1.101 | jdoe | DC-AUTHSRV-01 | LOGIN_FAIL | Kerberos pre-auth failed. Reason: WRONG_PASSWORD. Attempt: 1/3.
2025-07-14T06:19:12.441Z | EVT-1007 | WARNING | 10.10.1.101 | jdoe | DC-AUTHSRV-01 | LOGIN_FAIL | Kerberos pre-auth failed. Reason: WRONG_PASSWORD. Attempt: 2/3.
2025-07-14T06:19:20.882Z | EVT-1007 | HIGH | 10.10.1.101 | jdoe | DC-AUTHSRV-01 | LOGIN_FAIL | Kerberos pre-auth failed. Reason: WRONG_PASSWORD. Attempt: 3/3. Threshold reached.
2025-07-14T06:20:01.003Z | EVT-1010 | HIGH | 10.10.1.101 | jdoe | DC-AUTHSRV-01 | ACCOUNT_LOCKED | Account 'jdoe' locked after 3 failed login attempts. Helpdesk ticket auto-created: INC-20250714-0044
2025-07-14T06:22:14.556Z | EVT-1001 | INFO | 10.10.2.33 | pkumar | WS-IT-018 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: TOTP_VERIFIED. Session: S-4825E
2025-07-14T06:25:30.112Z | EVT-1008 | HIGH | 10.10.7.150 | mthompson | SRV-APPSVR-02 | ADMIN_ACCESS_ATTEMPT | Non-admin account attempted to access ADMIN$ share on SRV-APPSVR-02. Action: DENIED.
2025-07-14T06:25:30.112Z | EVT-1008 | HIGH | 10.10.7.150 | mthompson | SRV-APPSVR-02 | ADMIN_ACCESS_ATTEMPT | Non-admin account attempted to access ADMIN$ share on SRV-APPSVR-02. Action: DENIED.
2025-07-14T06:27:44.889Z | EVT-1009 | WARNING | 10.10.3.200 | svc_monitor | SRV-MONITOR-01 | SERVICE_ACCT_LOGIN | Service account 'svc_monitor' interactive login detected. Expected: non-interactive only. Risk: MEDIUM
2025-07-14T06:29:00.334Z | EVT-1001 | INFO | 192.168.50.18 | twalker | VPN-GW-01 | VPN_LOGIN_SUCCESS | VPN authenticated. GEO: US-Chicago. MFA: PUSH_VERIFIED. Tunnel: TUN-8844. Session: S-4826F
2025-07-14T06:31:22.441Z | EVT-1011 | CRITICAL | 185.220.101.48 | administrator | DC-AUTHSRV-02 | PASS_SPRAY_DETECTED | Password spray attack detected. 312 accounts targeted in 60 sec. Unique IPs: 1. GEO: DE-Frankfurt. Action: IP_BLOCKED
2025-07-14T06:31:22.441Z | EVT-1011 | CRITICAL | 185.220.101.48 | administrator | DC-AUTHSRV-02 | PASS_SPRAY_DETECTED | Password spray attack detected. 312 accounts targeted in 60 sec. Unique IPs: 1. GEO: DE-Frankfurt. Action: IP_BLOCKED
2025-07-14T06:33:15.009Z | EVT-1001 | INFO | 10.10.1.88 | rchang | WS-FINANCE-021 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: TOTP_VERIFIED. Session: S-4827G
2025-07-14T06:35:00.224Z | EVT-1012 | HIGH | 10.10.6.45 | bnelson | SRV-FILESVR-03 | UNUSUAL_LOGIN_TIME | Login outside business hours. User: bnelson. Time: 06:35 UTC. Baseline: 08:00-18:00. Risk Score: 78
2025-07-14T06:37:48.662Z | EVT-1013 | CRITICAL | 10.10.5.201 | svc_backup | SRV-BACKUP-01 | PRIV_ESCALATION_SUCCESS | ALERT: Privilege escalation SUCCEEDED. 'svc_backup' added to local Administrators group on SRV-BACKUP-01. Investigate immediately.
2025-07-14T06:38:11.334Z | EVT-1013 | CRITICAL | 10.10.5.201 | svc_backup | SRV-BACKUP-01 | PRIV_ESCALATION_SUCCESS | ALERT: Privilege escalation SUCCEEDED. 'svc_backup' added to local Administrators group on SRV-BACKUP-01. Investigate immediately.
2025-07-14T06:40:02.778Z | EVT-1001 | INFO | 10.10.9.14 | lmartinez | WS-LEGAL-003 | LOGIN_SUCCESS | User authenticated via Kerberos. MFA: PUSH_VERIFIED. Session: S-4828H
2025-07-14T06:41:55.334Z | EVT-1014 | WARNING | 10.10.8.77 | gwilson | WS-DEV-044 | PASS_CHANGED | Password changed outside normal schedule. User: gwilson. Changed by: SELF. Notified via email.
2025-07-14T06:43:30.001Z | EVT-1003 | WARNING | 203.78.114.56 | administrator | VPN-GW-01 | VPN_AUTH_FAIL | VPN login failed. Reason: INVALID_CREDENTIALS. Attempt: 1/5. GEO: CN-Shanghai
2025-07-14T06:43:37.559Z | EVT-1003 | WARNING | 203.78.114.56 | administrator | VPN-GW-01 | VPN_AUTH_FAIL | VPN login failed. Reason: INVALID_CREDENTIALS. Attempt: 2/5. GEO: CN-Shanghai
2025-07-14T06:43:45.112Z | EVT-1003 | HIGH | 203.78.114.56 | administrator | VPN-GW-01 | VPN_AUTH_FAIL | VPN login failed. Reason: INVALID_CREDENTIALS. Attempt: 3/5. GEO: CN-Shanghai
2025-07-14T06:45:00.334Z | EVT-1001 | INFO | 10.10.4.55 | hpatel | WS-SALES-015 | LOGIN_SUCCESS | User authenticated via LDAP. MFA: TOTP_VERIFIED. Session: S-4829I
