2025-07-14T06:00:05.112Z | FW-2001 | INFO | FW-CORE-01 | 10.10.1.45 | 10.10.50.10 | 54321 | 443 | TCP | ALLOW | RULE-INT-001 | 4096 | HTTPS to intranet portal. Normal business traffic.
2025-07-14T06:00:18.334Z | FW-2001 | INFO | FW-CORE-01 | 10.10.2.88 | 8.8.8.8 | 49201 | 53 | UDP | ALLOW | RULE-DNS-001 | 128 | DNS query to Google DNS. Normal.
2025-07-14T06:01:44.882Z | FW-2002 | WARNING | FW-CORE-02 | 203.78.114.56 | 10.10.0.1 | 48822 | 22 | TCP | DENY | RULE-EXT-SSH-BLOCK | 0 | Inbound SSH attempt from external IP. GEO: CN-Shanghai. Blocked.
2025-07-14T06:02:15.001Z | FW-2002 | WARNING | FW-CORE-02 | 203.78.114.56 | 10.10.0.1 | 48823 | 22 | TCP | DENY | RULE-EXT-SSH-BLOCK | 0 | Inbound SSH attempt from external IP. GEO: CN-Shanghai. Blocked.
2025-07-14T06:02:33.441Z | FW-2002 | HIGH | FW-CORE-02 | 203.78.114.56 | 10.10.0.1 | 48824 | 22 | TCP | DENY | RULE-EXT-SSH-BLOCK | 0 | Repeated inbound SSH from same source. Possible brute force. GEO: CN-Shanghai.
2025-07-14T06:03:10.334Z | FW-2003 | INFO | FW-DMZ-01 | 10.10.100.5 | 172.217.14.196 | 52001 | 443 | TCP | ALLOW | RULE-DMZ-OUT-001 | 8192 | HTTPS outbound from DMZ web server. Normal CDN traffic.
2025-07-14T06:04:55.778Z | FW-2004 | CRITICAL | FW-CORE-01 | 45.152.66.201 | 10.10.0.254 | 0 | 0 | ICMP | DENY | RULE-BLOCK-TI | 0 | IP matches Threat Intel feed: MISP-TLP-RED. Known APT-29 infrastructure. GEO: RU-Moscow. Auto-blocked.
2025-07-14T06:04:55.778Z | FW-2004 | CRITICAL | FW-CORE-01 | 45.152.66.201 | 10.10.0.254 | 0 | 0 | ICMP | DENY | RULE-BLOCK-TI | 0 | IP matches Threat Intel feed: MISP-TLP-RED. Known APT-29 infrastructure. GEO: RU-Moscow. Auto-blocked.
2025-07-14T06:06:22.009Z | FW-2005 | HIGH | FW-CORE-01 | 10.10.8.77 | 198.51.100.240 | 55001 | 4444 | TCP | DENY | RULE-SUSPICIOUS-PORT | 0 | Outbound connection to non-standard high-risk port 4444. Possible C2 channel. Endpoint: WS-DEV-044.
2025-07-14T06:07:33.334Z | FW-2001 | INFO | FW-CORE-02 | 10.10.3.112 | 10.10.50.20 | 61001 | 80 | TCP | ALLOW | RULE-INT-002 | 2048 | HTTP to internal app server. Normal.
2025-07-14T06:08:44.112Z | FW-2006 | CRITICAL | FW-CORE-01 | 185.220.101.48 | 10.10.0.1 | 0 | 443 | TCP | DENY | RULE-BLOCK-TI | 0 | Tor exit node detected. IP in known Tor exit list. GEO: DE-Frankfurt. Blocked. Rule: GEO-BLOCK-001
2025-07-14T06:09:15.882Z | FW-2007 | HIGH | FW-CORE-02 | 10.10.5.201 | 10.10.20.15 | 49800 | 445 | TCP | ALLOW | RULE-INT-SMB | 512 | SMB connection from backup server to DC. Flagged: unusual initiator. Ref: INC-20250714-0067
2025-07-14T06:09:15.882Z | FW-2007 | HIGH | FW-CORE-02 | 10.10.5.201 | 10.10.20.15 | 49800 | 445 | TCP | ALLOW | RULE-INT-SMB | 512 | SMB connection from backup server to DC. Flagged: unusual initiator. Ref: INC-20250714-0067
2025-07-14T06:10:30.441Z | FW-2008 | CRITICAL | FW-CORE-01 | 10.10.3.201 | 45.152.66.201 | 52200 | 8080 | TCP | DENY | RULE-EGRESS-BLOCK | 0 | Outbound connection to known malicious IP. Possible C2 beacon. Endpoint: WS-IT-033. INCIDENT: INC-20250714-0071
2025-07-14T06:11:02.334Z | FW-2009 | WARNING | FW-BRANCH-05 | 192.168.10.55 | 10.10.50.30 | 57221 | 3389 | TCP | ALLOW | RULE-RDP-INTERNAL | 1024 | RDP from branch office. Allowed but flagged for monitoring. User: unknown at time of log.
2025-07-14T06:12:00.009Z | FW-2010 | INFO | FW-CORE-01 | 10.10.4.77 | 172.16.10.5 | 50101 | 1433 | TCP | ALLOW | RULE-DB-INT | 512 | SQL Server connection from sales workstation. Normal ERP activity.
2025-07-14T06:13:22.556Z | FW-2011 | WARNING | FW-DMZ-01 | 10.10.100.8 | 1.1.1.1 | 55443 | 53 | UDP | ALLOW | RULE-DNS-001 | 128 | DNS query from DMZ. Destination: Cloudflare. Freq: normal.
2025-07-14T06:14:45.778Z | FW-2012 | HIGH | FW-CORE-01 | 10.10.8.77 | 198.51.100.240 | 55002 | 4444 | TCP | DENY | RULE-SUSPICIOUS-PORT | 0 | Repeated outbound to port 4444. Attempt: 2. Possible staged malware callback. Endpoint: WS-DEV-044.
2025-07-14T06:15:30.334Z | FW-2013 | CRITICAL | FW-CORE-02 | 10.10.7.150 | 203.0.113.88 | 49900 | 443 | TCP | DENY | RULE-DLP-BLOCK | 102400 | DLP policy triggered: large outbound HTTPS transfer (100KB+). Possible data exfiltration. User: mthompson. Endpoint: SRV-FILESVR-03.
2025-07-14T06:16:00.112Z | FW-2001 | INFO | FW-CORE-01 | 10.10.9.14 | 10.10.50.10 | 62001 | 443 | TCP | ALLOW | RULE-INT-001 | 3072 | HTTPS to intranet. Normal business traffic.
